author,comment,date,sentiment_class
@user-rn8ww4qo6t,생성형 AI서비스는 삼성SDS가 최초네요말하면 척척 알아서 다해주는 AI기술로 앞으로의 우리의 세상은 더 놀랍고 편리해지겠어요삼성SDS 기술을 응원하며 앞으로도 승승장구하시길 응원합니다삼성SDS 화이팅,2024-02-29 06:34:22,LABEL_1
@baro_114,그야 말로 와 소리가 절로 나오네요 생각하고 말하면 그대로 이루어지는 세상 AI Life All New Life 말이 정말 잘 어울리는 강렬한 영상이었습니다진심으로 미래를 기대하게 하는 내용이었어요 삼성SDS가 열어갈 AI 시대 오피스  라이프를 기대하겠습니다 ,2024-01-31 06:34:22,LABEL_1
@user-yo6rh8xy4l,어렸을 때 꿈만 꿔왔던게 현실로 이루어 지는 세상  삼성 SDS가 그걸 해냅니다  이래라저래라 해도 다알아서 해주는 AI 기술 앞으로도 더 기대되요   역시 시작과 끝은 삼성입니다,2024-01-31 06:34:22,LABEL_1
@wanna_,AI 시대 개막에 두근두근 설레요 새해 삼성 갤럭시 AI 실시간 통역에 놀란지 얼마 안된 것 같은데 이제 일상과 오피스에서도 AI의 능력을 누릴 수 있는 생성형  AI시대가 이렇게나 빨리 찾아 오다니 그저 행복합니다 뻔뻔하게 별걸 다 물어봐도 별걸 다 해주는 AI의 새로운 라이프 정말 기대가 커지고 앞으로 삼성AI 서비스로 일과 여행 모두 편하고 완벽하게 해내고 싶은 의욕이 샘솟네요 뭐든 맡겨서 일의 효율성을 높이고 일상과 일에 균형을 맞춰 멋진 일질러가 되고 싶어요,2024-02-29 06:34:22,LABEL_1
@user-is7ib1gr2p,삼성 SDS의 AI  시대가 기대가됩니다모든 생활에 AI가 되는  시대에 살고있는 지금이 오피스 라이프 시대네요항상 응원합니다삼성SDS,2024-02-29 06:34:22,LABEL_1
@user-wr5wf4cc6k,삼성SDS의 혁신적인 AI 패브릭스가 기대됩니다 항상 유익한정보와알찬소식으로  많은분들이 공감하고 있습니다언제나 많은분들에게 아낌없는 사랑듬뿍 받으시길 기원합니다,2024-01-31 06:34:22,LABEL_1
@user-kq3xl8it7g,식당도 찾아주고 메일도 대신 써주고 뭐든지 알아서 척척해주는 생성형 AI 서비스가 현실에서 실현된다면 정말 멋질꺼같아요디지털 혁신의 가능성을 제시하는 삼성SDS 생성형 AI가 앞으로 더 발전할수 있기를 기대하며 응원합니다  ,2024-02-29 06:34:22,LABEL_1
@mskim4995,회사 업무를 하면서 빈번하게 사용하는 메일 메신저 영상회의 등 협업 솔루션에 생성형 AI 기술을 적용한 서비스로 간편하게 수행할 수 있다니 감동이에요 이젠 영상회의 중 실시간 자막과 회의록 작성 회의 종료 후 회의록과 실행 방안 담당자에 메일 발송 수신 메일과 메신저 실시간 요약 메일 초안 작성 등의 다양한 작업을 삼성SDS 생성형 AI 서비스에 부탁하겠습니다,2024-02-29 06:34:22,LABEL_1
@fornest-3,삼성SDS의 지금까지 집약한 AI 기술과 고객 업종에 대한 깊은 이해를 바탕으로 기업 업무의 Hyperautomation을 현실로 실현하는 다양한 생성형 AI 서비스에 전 세계인의 사랑과 무궁한 번영이 함께 하시길 두손 모아 기원합니다,2024-01-31 06:34:22,LABEL_1
@youngheelee2930,삼성SDS에서의 의 공감 할 수 있는 유익한 소식과 알찬 정보로 언제나 함께 소통하며 더욱 많은 분들과 정보를 나눌 수 있는 소중한 공간으로 거듭나길 응원합니다늘 행복한 기분 좋은 소식들 많이 올려주시고 애정 가득한 내용도 많이 전해주세요그리고 룰렛 출석체크 걷기 어플 연동워크온등 다양한 이벤트로 재미와 참여를 하여 함께 발전하는 채널이 되었으면 해요 고맙습니다,2024-01-31 06:34:22,LABEL_1
@BASHK4,생성형 AI 열풍이 모든 비즈니스와 기업에게 생산성을 극적으로 향상시킬 디지털 혁신의 가능성을 제시한 가운데 FabriX Brity Copilot Samsung Cloud Platform 등 역시 삼성SDS라는 소리가 절로 나오네요너무 혁신적이어서 안 쓰면 손해겠어요,2024-02-29 06:34:22,LABEL_1
@sorrjj,삼성SDS의 혁신적인 AI 패브릭스가 기대되네요 오피스 협업 솔루션으로 업무 효율을 극대화하면 좋겠네요 미래 AI시대를 선도하는 삼성SDS의 기술력이 실생활에 얼마나 유용할지 기대됩니다,2024-01-31 06:34:22,LABEL_0
@raniakea5166,생성형AI가 나의일을 일부 해주는 분신같은 존재가 되어가고 있네요삼성SDS와 함께 시대에 뒤쳐지지 않도록 미리미리 대응해야될 것 같아요이제는 누가 더 AI를 잘 활용하느냐가 능력이될 시대에  삼성SDS AI서비스로 미래를 맞이하고 열어가야야되겠습니다 ,2024-02-29 06:34:22,LABEL_0
@kwangseok_enrique,챗GPT AI 등 요즘 제가 가장 관심 있게 생각하고 직접 체험 해보는 것들이라 흥미롭네요 생성형 AI시대는 삼성SDS 라는 말이 맞는 것 같습니다 영상을 보면서 하이퍼오토메이션에 대해서 조금 더 알아보고 있는 중입니다 예전에는 기계나 AI 등에 대한 것에 관심이 zero였는데 아이들이 관심을 갖기 시작하면서 늦게나마 공부도 하고 정보를 모으는 등 흥미까지 생겨버렸네요 현실세계에 일어날 수 있을까 라는 의문을 비웃기나 하듯 실생활에 녹아든 AI 시대에 저도 삼성SDS와 함께 하겠습니다 항상 응원하고 내일은 또 어떠한 놀라움을 줄까 하면서 기대하고 지켜보겠습니다,2024-01-31 06:34:22,LABEL_1
@user-uf4jq7nn2s,삼성 SDS와 함께 생성형 AI시대를 열어갈 길이 너무너무 기대되고 설레네요 미래를 이끌어나가는 삼성 SDS 앞으로도 많은 이들에게 큰 관심과 사랑 가득 받길 응원합니다,2024-02-29 06:34:22,LABEL_1
@kimyessir,노래가 너무 좋아요 두근두근 ㅋㅋ 표 바로 붙이고 발언 요약되는 기능 너무 편할 것 같아요,2024-01-31 06:34:22,LABEL_1
@mgpavictor56,생성형 AI가 오피스 환경에 주는 영향들이 멋지고 더 편리해질 삶이 기대되네요이 영화같은 현실이 삼성SDS의 AI 서비스로 실현된다니 신뢰도 100 이상이에요FabriX Brity Copilot Samsung Cloud Platform으로 만든 변화에 이어 더욱 발전될 삼성SDS 생성형 AI 서비스가 만들 미래를 응원합니다,2024-02-29 06:34:22,LABEL_1
@user-zj8tk3ny8k,삼성SDS의 혁신적인 AI 패브릭스 정말 기대됩니다항사 알찬 정보 기능을 알려주는 삼성SDS 정말 감사하고 고맙습니다AI시대에 삼성SDS와 같이 대한민국을 빛내주세요,2024-02-29 06:34:22,LABEL_1
@user-wt4yb5ds5v,AI의 능력을 모두의 능력으로 만드는 기업 하이퍼오토메이션 엑셀레이터 영상을 통하여2024 기대가 됩니다대박나세요응원합니다참여완료,2024-02-29 06:34:22,LABEL_1
@user-xp8qp4df2b,역시 모든면에서 항상 한발 앞서가는 삼성이네요 AI시대에서 오피스에서나 라이프에서도 못하는게 없이 그 탁월한 능력을 발휘할 수 있는 AI 서비스네요삼성의 핵심 플랫폼과 데이터관리 진정으로 기대되고 없어서는 절대 안될것 같은 기술이 눈앞에서 현실화 되는것 같아요 점점 진화 하고 있는 삼성의 그 끝은 과연 어디인지 자못 궁금해 집니다 ,2024-02-29 06:34:22,LABEL_1
@roveal777,삼성 SDS의 AI 기술을 통해 새로운 시대에 발맞춰 더욱 효율적인 업무와 편리한 라이프를 누릴 수 있게 되었다는 것에 큰 기대와 응원을 보냅니다 또한 이러한 혁신적인 기술이 우리의 일상에 어떠한 새로운 가능성을 가져다 줄지 궁금하고 기대됩니다 삼성 SDS가 AI 기술을 선도하는 기업으로서 더 큰 성과를 이루어 나가길 기대하며 응원합니다 함께 밝은 미래를 향해 나아가는 모습을 지켜볼 수 있기를 기대합니다 ,2024-02-29 06:34:22,LABEL_1
@user-lq4se6lz8m,많은 분들로부터 큰사랑 받는 삼성SDS가 되길 바라며 AI시대에 앞장서는 삼성SDS가 되어주시고 꾸준히 발전하시어 번창하세요,2024-02-29 06:34:22,LABEL_1
@user-oq6pm9jb5t,나날이 발전하는 세상에서 AI인공지능 음성 인식 서비스가 스마트폰에서도 보편화되어가고 인공지능이 대체하게 됨으로써 인간의 손을 떠나게 될 직업부터 생성형 AI으로 새로 생겨날 큰 변화는 어떻게 변화되어올지 기다려지네요삼성SDS만의 강점 ChatGPT를 넘어 생성형 AIGenerative AI의 미래의 시작을 응원합니다,2024-01-31 06:34:22,LABEL_1
@leeinwoo,생성형 AI시대 저도 삼성 SDS와 같이 시작해봅니다 응원 열심히 할께요,2024-02-29 06:34:22,LABEL_1
@Lazymom7,삼성SDS의 생성형 AI플랫폼이 우리의 전반적인라이프 스타일에 큰 변화를 가져다 줄거 같아 설레이네요 응원할게요,2024-02-29 06:34:22,LABEL_1
@X2SiO4,AI로 변해가는 우리 일상과 직장 속의 모습을 보니 제2의 인터넷 시대가 시작된 것 같네요 인터넷으로 우리가 사용하는 모든 것들이 변화해온 것 만큼 AI를 통해 우리 일상과 업무가 어떻게 변하게 될지 기대되면서 상상할 수 없었던 업무를 가능하게 만드는 생성형 AI를 통한 삼성SDS의 새로운 기술과 도전을 응원하겠습니다,2024-02-29 06:34:22,LABEL_0
@jojzzang77,생성형 AI기술이 앞으로 기대됩니다고객과 함께하며 더욱 성장하고 발전하는 삼성SDS 되길 응원합니다,2024-01-31 06:34:22,LABEL_1
@gmlwjdtjs,생성형 AI서비스로 일상이 스마트하게 변화하는 미래의 시대가 이제 현실이 되었네요삼성SDS의 차별화된 AI 기술력으로 시작하는 AI 시대가 정말 기대됩니다 ,2024-01-31 06:34:22,LABEL_1
@denisrow3908,정말 AI 성장이 엄청난 시대인 만큼 기대가 너무 크네요 말만 하면 뚝딱 뚝딱 해주고 찾아주고 정리해주는 AI 상상만 해도 좋네요그 중심에 삼성 SDS가 있다니 너무 멋져요 어떻게 활용하고 써먹느냐에 따라 가치가 달라지는데 삼성 SDS가 주도하는 생성형 AI 서비스는 퀄리티가 남다를 것 같아서 빨리 만나보고 싶어요영상만 봐도 기대기대,2024-01-31 06:34:22,LABEL_1
@fox0830fox,AI와 공생하고 상생해야하는 시대가 오고있네요 그 선두주자인 삼성 SDS의 생성형 AI기술까지도 너무 기대됩니다,2024-02-29 06:34:22,LABEL_0
@user-lz4dc6ol3j,드디어 이제  삼성SDS 생성형 AI 서비스시대 가 실제로 온것 같아 정말 신기할 따름이네요 이걸또 삼성이 해내고야 말았네요 ㅎㅎ 전세계가 항상 기대하고 열광하는 삼성의 신기술 삼성SDS 2023년 한해 너무 고생많으셨고 기쁜일 슬픈일이 가득한 한해인만큼 좀더 많은것들을 얻고 성장한 한해었길 바라며 다가오는 2024년 새해에는 더욱더 많은것들을 이루고 성취하는 최고의 한해가 되길 기원합니다  삼성SDS 생성형 AI 서비스 화이팅 ,2024-01-31 06:34:22,LABEL_1
@tkfkddl6180,인공지능의 능력을 모두의 능력으로 만드는 기업인 삼성SDS의 지속적인 성장과 발전에 큰 박수를 보내드리고 싶네요언제나 응원합니다,2024-02-29 06:34:22,LABEL_1
@user-fm9jh6xb1x,생성형 AI 시대로 미래에서나 가능한 편리한 시대가 도래한 것 같습니다 삼성으로 인해서 우리의 생활의 질이 더욱더 업그레이드될 것 같습니다 미래 속 상상에만 생각했던 기술이 현실이 되니까 정말 놀랍지 않을 수 없습니다 삼성의 편리함을 추구하는 기술혁신이 어디까지 가능할지 정말 기대가 됩니다삼성에 SDS AI의 all new life를 향한 끊임없는 기술혁신과 도전을 응원합니다삼성에 생성형 AI로 인한 우리의 행복이 어디까지 이어질지 궁금합니다,2024-01-31 06:34:22,LABEL_1
@user-cx1me7wt4p,삼성SDS의 뛰어난 기술력을 바탕으로 AI를 통해 대한민국을 이끌어가는게 정말 자랑스럽네요 생성형 AI를 바탕으로 여러분야에 적용하는 뛰어난 기술력이 정말 대단합니다 앞으로도 더더욱 발전하여 세계를 이끌어가는 삼성SDS가 되었으면 하네요 삼성SDS 화이팅,2024-02-29 06:34:22,LABEL_1
@yy00667,이 영상을 보고 나니 삼성SDS의 생성형 AI가 얼마나 강력하고 다양한 분야에 적용될 수 있는지 느낄 수 있었고 FabriX 플랫폼을 통해 기업 시스템에 AI를 쉽게 도입할 수 있고 Brity Copilot을 통해 AI와 대화하듯 협업하고 문제를 해결할 수 있다는 것이 놀랍네요 삼성SDS의 AI 기술력에 감탄합니다 ,2024-01-31 06:34:22,LABEL_1
@011kimsso,생성형 AI시대의 시작은 삼성 SDS와 함께 멋진 앞날 응원합니다 ,2024-02-29 06:34:22,LABEL_1
@user-of6yr5zt3r,광고 재미있게 봤어요AI시대에 삼성SDS와 함게해서 좋아요삼성SDS 더욱 성장하길 응윈 합니다,2024-02-29 06:34:22,LABEL_1
@user-oz9vu8sb5d,생성형 AI로 생활에 큰변화를 주도하는 삼섬SDS의 앞길을 응원하고 또 응원합니다,2024-02-29 06:34:22,LABEL_1
@cook89701,삼성SDS만의 생성형 AI서비스가 두근두근 기대됩니다 앞으로도 유익한 정보와 좋은 새소식 기대 많이 하겠습니다 응원합니다 홧팅,2024-02-29 06:34:22,LABEL_1
@user-il4ow6yp6s,내가 원하는데로  나만을 위한 개인비서 생성형 AI 시대를 선도하는 삼성 SDS 홧팅,2024-02-29 06:34:22,LABEL_1
@edwood95,삼성SDS의 생성형 AI서비스가 새로운 패러다임으로 온 세계를 놀라게 하길 진심으로 응원하겠습니다,2024-01-31 06:34:22,LABEL_0
@jihwang0121,삼성SDS와 함께 펼쳐질 AI 패브릭스 정말 기대되네요 기술 혁신를 통해 더욱 더 스마트한 세상이 눈앞에 펼쳐지는것 같아요 앞으로도 응원하겠습니다,2024-02-29 06:34:22,LABEL_1
@hoonseongkang494,Ai 덕분에 새로운 삶을 살게 될 우리의 미래가 기대됩니다 삼성SDS AI능력으로 데이터의 확보부터 분석 의사결정에 이르는 모든 프로세스에 혁신적인 변화로 기업이 더 스마트하게 운영될 거 같아요,2024-02-29 06:34:22,LABEL_1
@kims_way,와우 저렇게 신선한 오피스와 일상의 라이프를 변화시키는 생성형 ai 발전의 선두주자 삼성 sds를 응원합니다,2024-02-29 06:34:22,LABEL_1
@TheBigTwister,앞으로 삼성 스마트 가전과 휴대폰 생태계에 패브릭스 AI 플랫폼이 융합된다면 보다 편리하고 효율성 극대화된 스마트 Home  Office 환경이 구축되겠군요 상상이 현실이 될 그날이 너무 설레고 기대되네요 ,2024-02-29 06:34:22,LABEL_1
@iamtonywife,생성형 AI 시대 시작은 삼성SDS로부터삼성SDS 생성형 AI 서비스와 함께 보다 멋진 디지털 시대를 기대해봅니다,2024-02-29 06:34:22,LABEL_1
@sangkisong605,CF성 유튜브 영상이 수준있고 또한 날카로운 유머까지정말 잘 만들어졌네요저 또한 뻔뻔하지만 AI시대 오피스라이프가 정말 필요한 사람이네요행복한 삶을 위해 AI 와의 친근한 관계를 만들고 싶네요감사드립니다 ,2024-01-31 06:34:22,LABEL_1
@jinny3600,생성형 AI시대 기대됩니다 ㅎㅎ 응원할게요 블로그 공유도 완료했답니다,2024-02-29 06:34:22,LABEL_1
@soda2023,삼성SDS의 생성형 AI와 함께 이제 오피스라이프도뻔해지고 별걸 다 물어보고 이래라저래라 하고 이랬다저랬다 하고 때와 장소를 가리지 않고  깜빡도 하고 꿈뻑도 졸아 보자는 광고 문구 넘 맘에 드네요이 정도면 제 일자리가 위태로운거 아닌지 ,2024-02-29 06:34:22,LABEL_1
@user-du6xd5im5h,삼성SDS의 AI시대 오피스라이프 잘 봤어요 볼수록 신비하고 새로운 세상에 빠져들며 편한 생활을 이어가는 행복한 스토리가 마음을 사로잡네요 세련된 영상미에 감각적인 음악이 함께해서 한편의 멋진 영화 예고편을 보는 것 같았어요 앞으로도 많은 관심과 사랑 속에 크게 발전하길 바라며 응원할게요,2024-02-29 06:34:22,LABEL_1
@user-tr7ir9bb9e,비즈니스 환경에서 삼성 SDS 생성형 AI 서비스가 가져올 혁신이 기대가 됩니다,2024-02-29 06:34:22,LABEL_0
@heavenheaven312,정말 이제는 ai와 대화하며 별걸 다 맡기고 시킬 수 있는 시대가 왔네요 그 시작은 삼성sds Sds와 함께 더욱 발전하는 우리나라가 되길 바랍니다,2024-01-31 06:34:22,LABEL_1
@user-bu6hj7dc3e,영상보는 내내 미래의 오피스를 미리 보는거 같아 신기하고 기대도 되고 그랬어요AI 비서가 회의 일정 조율 메모 작성 보고서 작성 그리고 번역 기능을 통해 해외 파트너와의 원활한 소통데이터 분석을 통한 마케팅 전략 수립과 그 효과에 대한 측정까지 그리고 AI기술이 창의력을 오히려 더 끌어 올 릴 수 있어 사람이 잘 사용하면 더 나은 개인과 기업의 삶을 살 수 있을 않을까하는 기대감도 사실이구요삼성 SDS AI 솔루션이 그 답이 될 수 있을거란 기대감이 생겼습니다 앞으로 다양한 소식 많이 전해 주세요,2024-02-29 06:34:22,LABEL_1
@user-ix7fz1kv3w,생성형 AI시대 삼성SDS와 같이 선도하고 응원합니다 유익하고 다양한 콘텐츠 감사합니다 ,2024-02-29 06:34:22,LABEL_1
@beta30000,2024년은 인공지능 시대이고 생성형AI 패브릭스로 명령어 하나면 업무시스템을 빠르게 해결할수 있겠네요기업과 사용자가 패프릭스를 통해 경쟁력을 높일수있는 프로세스의 혁신이라고 생각이 들어 점점 우리사회와 우리들곁에 자리잡아가고 있는 인공지능AI인것같습니다,2024-02-29 06:34:22,LABEL_1
@parkjun114,캬 나래이션 배우 김기현 선생님의 목소리도 좋고 광고의 퀄리티도 예술입니다생성형 AI시대 시작은 삼성 SDS로부터 역시 세계일류 기업 삼성입니다,2024-02-29 06:34:22,LABEL_1
@user-yg8hz8uc1j,삼성SDS삼성SDS 2024년 갑진년 항상 좋은 일만 가득 가득하시고 하는일마다 신의 은총이 함께하며 올 한해 글로벌기업으로 도약하는 원년이 되길 진심으로 기원하면서 열렬히 응원합니다,2024-02-29 06:34:22,LABEL_1
@mslee2408,AI 시대에 오피스와 라이프를 리드하는 삼성SDS 생성형 인공지능 서비스가 나날이 진화하고 발전하기를 학수고대합니다 생성형 인공지능 서비스는 삼성SDS와 함께 하겠습니다 삼성SDS 영 원 하 라 ,2024-02-29 06:34:22,LABEL_1
@user-qp2gg6oz1q,삼성SDS의 생성형 AI 시대에 역동적이고 드라마틱한 기후변화 시스템이 기대됩니다 이러한 혁신적인 기술의 발전으로 인해 삶이 어떻게 더욱 더 편해질지는 상상하기 어렵지만 확실히 삶의 질은 현격하게 달라질 것으로 기대됩니다 특히 광고의 효과가 톡톡하게 전해지는 것은 놀라운 부분이며 편집자에게는 정말 감동적인 작업을 해주셔서 상줘야겠어요,2024-01-31 06:34:22,LABEL_0
@user-hq7om4ks7n,AI시대에 발맞춰 나가는 아니 선도하는 삼성SDS가 되길 응원합니다,2024-02-29 06:34:22,LABEL_0
@nakyonghee8394,삼성SDS AI시대 오피스라이프 영상을 보면서 우리의 내일이 미래가 더욱 기대됩니다 삼성SDS의 앞장서서 나아가길 응원할게요,2024-02-29 06:34:22,LABEL_1
@anetteJ,챗GPT AI 는 미래 필수적인 것들인만큼삼성 SDS의 노력이 빛을 바랄거 같습니다정말 진심으로 응원합니다,2024-02-29 06:34:22,LABEL_1
@whitedog81,AI시대가 성큼 다가왔음을 알려주는 영상  너무좋아요삼성SDS와 함께 펼쳐질 AI패브릭스 기대합니다,2024-02-29 06:34:22,LABEL_1
@inwoo42595,음악이 신나서 영상 잼있게 잘 봤어요 역동적으로 변화하는 오피스라이프 너무 기대가 됩니다 삼성 SDS 화이팅됩니다,2024-01-31 06:34:22,LABEL_1
@user-sophia485,삼성의 앞서가는 기술력이 편리한 세상에 한발 더 앞서게 하네요삼성 화이팅 ,2024-02-29 06:34:22,LABEL_1
@leejubok,생성형 AI로 우리 생활에 변화의 혁신을 선도하는 삼섬SDS  화이팅,2024-02-29 06:34:22,LABEL_1
@user-gz2lf6xw4h,생성형 AI시대 시작은 SDS로부터 AI시대 오피스라이프가 기대되는 영상이네요 삼성SDS를 응원합니다,2024-02-29 06:34:22,LABEL_1
@black_jang,AI통해 우리삶이 혁신적으로 변화하는데 삼성SDS AI패브릭스가 앞장서길 바랍니다 영상도 잘뽑혔어요,2024-02-29 06:34:22,LABEL_1
@user-ky9dt2tb5x,생성형AI시대에  많은변화가 생겨 효율적일것같아요삼성SDS AI솔루션에 기대됍니다삼성SDS 응원합니다,2024-02-29 06:34:22,LABEL_1
@jiyun68785,요즘 AI기술이 많이 보이는데 흥미진진합니다 삼성은 선두주자AI 오피스라이프 앞으로 기대가 됩니다,2024-01-31 06:34:22,LABEL_1
@user-oj4uc8sp2w,삼성SDS의 생성형 AI 서비스가 앞으로도 더욱더 기대가 되빈다 우리가 살아가는 이시대에 AI는 뗄레야 뗄수 없는 시대인데 삼성이 만든 기술 세계적으로도 앞으로도 더더욱 인정 받기를 바랍니다,2024-02-29 06:34:22,LABEL_1
@user-nv9hs4nb2b,삼성SDS의 AI 기술 전세계에 인증 받고 널리 이용되길 응원합니다,2024-02-29 06:34:22,LABEL_0
@user-ui3yt6lh5r,생성형 AI 기술의 발전으로 앞으로 얼마나 다양한 활동들을 할 수 있는지 궁금하고 기대도 됩니다,2024-02-29 06:34:22,LABEL_0
@rookiek9754,이래라 저래라 이랬다 저랬다 깜박 꿈뻑 뽜샤 퐈와아아아아브릭스 부뤼튀 귀욥,2024-01-31 06:34:22,LABEL_2
@user-fl3dj1uw3w,삼성SDS 생성형 AI 서비스   를 통해  더욱   좋은 서비스     로  우리 고객들의 많은    사랑받기를    응원합니다,2024-02-29 06:34:22,LABEL_1
@user-xx2yj2yz2c,삼성SDS 생성형 AI 시대에 역동적인 드라마틱한 기후변화 시스템이 기대가 됩니다얼마나 더 편해질지 상상은 안가지만 삶의 질이 확 달라질꺼같습니다광고의 효과가 톡톡하네요 너무 멋져요 편집자 상줘야겠어여 2024 갑진년 청룡의해언제나 변함없는 따뜻한 사랑으로 많은 분들에게 즐거움과 함께 힐링을 주는 공간으로 거듭나길 바랄게요앞으로도 우리 꽃길만 걷기를 응원합니다 구독자와 소통하는 장을 만들어주세여다가가 전통을 오래도록 함께 이어갔으면 좋겠습니다,2024-01-31 06:34:22,LABEL_1
@860K1,머지 않아 일상이 될 생성형 AI 삼성SDS를 통해 볼수 있다는게 너무 좋은거 같습니다,2024-02-29 06:34:22,LABEL_1
@dongsunlee602,디지털세계를 선도할 삼성SDS 생성형 AI가 앞으로도 더욱더 기대됩니다,2024-02-29 06:34:22,LABEL_1
@user-vj3op8dj5e,삼성SDS 생성형 AI 서비스 응원합니다 화이팅 ,2024-02-29 06:34:22,LABEL_1
@user-mr5sr6vj2p,삼성 SDS 항상 응원하겠습니다 무궁무진한 발전을 기원합니다 화이팅하세요,2024-03-31 06:34:22,LABEL_1
@user-ex4jw2or2g,위트있는 광고와 삼성의 만남으로 시너지가 더해진 멋진 광고네요 삼성SDS 화이팅입니다,2024-02-29 06:34:22,LABEL_1
