title,agency,category,link
"""월세 살아야 하나""…전세대출 금리 6%",아이뉴스24,경제,https://v.daum.net/v/20240824060152715
"주유소 기름값 4주 연속 하락…""추석 전까지 더 내린다""",뉴스1,경제,https://v.daum.net/v/20240824060131699
노도강·금관구도 10주 이상 연속 상승…온기 언제까지?,뉴스1,경제,https://v.daum.net/v/20240824060129698
“스크린골프 칠 땐 ‘코덱스’·지하철 타니 ‘라이즈’”… ETF 광고 전쟁 나선 운용사들,조선비즈,경제,https://v.daum.net/v/20240824060120692
주유소 기름값 4주 연속 하락…당분간 하향 안정세 전망,연합뉴스,경제,https://v.daum.net/v/20240824060110687
"해리스, ‘배터리 개미’ 잃어버린 웃음 되찾아줄까 [신동윤의 투자,지정학]",헤럴드경제,경제,https://v.daum.net/v/20240824060057678
주유소 기름값 4주 연속 하락…서울 휘발유 1749.5원,뉴시스,경제,https://v.daum.net/v/20240824060029667
'주거 사다리' 복원될까…신축매입임대 공급 확대 눈길[집피지기],뉴시스,경제,https://v.daum.net/v/20240824060027664
"""강남부터 노도강까지""…아파트값 6년 만에 최대 상승[서울 집값 상승 언제까지]①",뉴시스,경제,https://v.daum.net/v/20240824060026660
[주간코인시황] 소폭 반등한 비트코인… ‘잭슨홀 미팅’이 관건,조선비즈,경제,https://v.daum.net/v/20240824060023654
호텔같은 사무실이라면 오고 싶을까? 美 사무실의 변신,아시아경제,경제,https://v.daum.net/v/20240824060010640
"""청약 괜히 넣었나"" 흥행참패 공모주... '폭락' 잔혹사 재현할까",머니투데이,경제,https://v.daum.net/v/20240824060007639
“고마워요 부사장님”...16% 급등한 ‘이 종목’ 개미들 좋겠네,매일경제,경제,https://v.daum.net/v/20240824055700605
"[뉴욕증시] 연준 피벗 기대감에 1% 넘게 상승...엔비디아, 시총 2위 탈환",파이낸셜뉴스,경제,https://v.daum.net/v/20240824055031570
파월 '금리인하' 시사에 금융시장 환호 …주식↑·금리↓·금↑(종합),연합뉴스,경제,https://v.daum.net/v/20240824054157527
"""60억 신고가!"" 강남 더 가파르게 오른다…주간 상승폭 올해 최대",머니투데이,경제,https://v.daum.net/v/20240824054031516
"[헬스S]""덥다 더워"" 역대급 열대야 '수면장애' 방치하면 병 키운다",머니S,경제,https://v.daum.net/v/20240824053813508
"""니치 향수·비건 화장품 들어봤니?""...개성 소비 시대",YTN,경제,https://v.daum.net/v/20240824053416492
"""티몬 정상화? 시간 끌기일 뿐""… 냉랭한 소비자·셀러",머니S,경제,https://v.daum.net/v/20240824053113475
"""신용카드 배송갑니다""···'미끼' 보이스피싱 소비자경보",서울경제,경제,https://v.daum.net/v/20240824053046470
비둘기 띄운 잭슨홀···당정대에 둘러싸인 한은,서울경제,경제,https://v.daum.net/v/20240824053038468
'차려논 밥상 NO' 오너 3·4세 위기서도 전면 나선다,서울경제,경제,https://v.daum.net/v/20240824053035467
개인정보 유출 논란에도···카카오페이 고객 '무덤덤',서울경제,경제,https://v.daum.net/v/20240824053031466
"[단독]롯데白, 미아점 옥외 주차장 부지 매각한다…철수 신호탄?",이데일리,경제,https://v.daum.net/v/20240824052751456
[생생장터] 무·시금치 평년보다 50%↑… 이번주 장바구니 가격,머니S,경제,https://v.daum.net/v/20240824052232443
"[속보]""땡큐 파월""…환호한 뉴욕증시, 나스닥 1.5%↑",이데일리,경제,https://v.daum.net/v/20240824051551423
일본 오염수 방류 1년...국내 수산물 소비 모습은?,YTN,경제,https://v.daum.net/v/20240824051316419
"[2보] 뉴욕증시, 파월 9월 금리인하 시사에 강세 마감…3대지수 1%대↑",연합뉴스,경제,https://v.daum.net/v/20240824051233418
"[1보] 뉴욕증시, 파월의 잭슨홀 '비둘기 발언'에 강세 마감…다우 1%↑",연합뉴스,경제,https://v.daum.net/v/20240824051130413
[단독] 미국 태클에 걸린 K원전 체코 수출,조선일보,경제,https://v.daum.net/v/20240824050616394
"[단독] 尹대통령 9월 체코 순방에, 4대그룹 총수 등 경제사절단 동행",조선일보,경제,https://v.daum.net/v/20240824050417383
실적 부진에 추락하는 한화솔루션... 목표가도 뚝 떨어졌다,파이낸셜뉴스,경제,https://v.daum.net/v/20240824050129356
"""8월 안에 계약해라"" 글도 떠돈다…집 사려는 사람들 급해진 이유",머니투데이,경제,https://v.daum.net/v/20240824050127354
"""외국인 손님 3배나 늘었다""…K뷔페 뜻밖의 호황, 무슨 일",중앙일보,경제,https://v.daum.net/v/20240824050046343
"두번 접히는 '트리플 폰'도 나온다…폴더블폰 돌풍, 이 기업도 기회",중앙일보,경제,https://v.daum.net/v/20240824050029334
'카스'의 독주…진로·롯데의 반전 전략,아이뉴스24,경제,https://v.daum.net/v/20240824050014320
"하남시가 '동서울변전소 증설' 퇴짜놓자...한전, 조목조목 반박",한국일보,경제,https://v.daum.net/v/20240824043025278
한국만 호구? 식물 방통위 탓에 인앱결제 처벌 난감한 공정위,한국일보,경제,https://v.daum.net/v/20240824043003271
"파월 금리인하 예고에 달러, 13개월 만에 최저...금, 1% 상승",파이낸셜뉴스,경제,https://v.daum.net/v/20240824042530263
"잭슨홀 찾은 ECB 인사 ""유럽 성장세 약화…9월 인하 필요 커져""",연합뉴스,경제,https://v.daum.net/v/20240824042359258
美연준 파월의 잭슨홀 미팅 '비둘기 발언'에 국제금값 1%대 상승,연합뉴스,경제,https://v.daum.net/v/20240824035603214
"加 철도노조, 일방중재 반발해 26일 파업 예고…물류혼란 우려",연합뉴스,경제,https://v.daum.net/v/20240824035431212
"돈 몰리기 시작하는 이더리움, 여전히 저평가라는데…지금이 매수 기회?",머니투데이,경제,https://v.daum.net/v/20240824033128197
"美연준 '비둘기파' 위원 ""연준, 고용 측면 주의 기울여야 할 때""",연합뉴스,경제,https://v.daum.net/v/20240824030433150
"'잭슨홀' 참석 英 중앙은행 총재 ""인플레 지속 위험 줄고 있어""",연합뉴스,경제,https://v.daum.net/v/20240824024129134
"엔비디아 급등...""실적 발표 뒤 상승 확신""",파이낸셜뉴스,경제,https://v.daum.net/v/20240824024041133
中 전기차 기업 멕시코에서 美 전기차 시장 노린다 왜?,파이낸셜뉴스,경제,https://v.daum.net/v/20240824021948119
"골드만 ""中 전기차 여파로 유가 68달러로 떨어진다""",파이낸셜뉴스,경제,https://v.daum.net/v/20240824021529111
농협銀 117억 횡령 금융사고… 올해만 4번째,동아일보,경제,https://v.daum.net/v/20240824014119034
하남시 변전소 증설 불허에… 한전 “수도권 전력공급 차질”,동아일보,경제,https://v.daum.net/v/20240824014118033
"파트타임 근로 180만명 역대 최다, 풀타임은 1년새 19만명 줄어",동아일보,경제,https://v.daum.net/v/20240824014115032
"파월, 2년전 물가와의 전쟁 선포했던 자리서 사실상 '종전' 선언",연합뉴스,경제,https://v.daum.net/v/20240824012151975
"관세청, 2024년 상반기 수출물품 원산지검증 최신 동향 발간",이데일리,경제,https://v.daum.net/v/20240824010551885
"파월, 9월 금리 인하 시사…""통화정책 조정 때가 왔다""",노컷뉴스,경제,https://v.daum.net/v/20240824010302879
"MZ 며느리 뿔난 사연 ""제 아파트를 제 아파트라고 하니 시어머님이…""",디지털타임스,경제,https://v.daum.net/v/20240824005831862
원전 수출 통제받는 나라는 한국뿐,조선일보,경제,https://v.daum.net/v/20240824005512843
"통상본부장, ‘방한’ 가봉 산업장관 면담…TIPF 조속 체결 제안",이데일리,경제,https://v.daum.net/v/20240824005251835
美 JD파워 기술 평가서 제네시스 4년 연속 1위,조선일보,경제,https://v.daum.net/v/20240824004553782
농협銀 100억대 부당 대출… 올 들어 4번째 금융 사고,조선일보,경제,https://v.daum.net/v/20240824004537775
"엔비디아·테슬라 `쌍끌이`…뉴욕증시, 파월 금리인하 발언에 급등",디지털타임스,경제,https://v.daum.net/v/20240824004430765
